Layer,Target,R2
0,Posterior_P(C),-0.0010064789047656841
0,Belief_C0,0.7880127343032438
0,Belief_C1,0.8386161823086947
0,Belief_C2,0.8159358011768636
1,Posterior_P(C),0.25303386152432067
1,Belief_C0,0.9620256923164744
1,Belief_C1,0.9644410719198054
1,Belief_C2,0.8865238136890085
2,Posterior_P(C),0.6298169355332601
2,Belief_C0,0.9574086408036289
2,Belief_C1,0.9582074953942809
2,Belief_C2,0.850362642142839
